ID_URBS,NUMERO_LINHA,DESC_LINHA,URL_URBS,URL_GAZETA,URL_MOOVIT
745,24,C. RASO / CAMP. SIQUEIRA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/024,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/capao-raso-campina-do-siqueira-024/,
2140,X27,C.RASO/CABRAL,,,
2040,X27,C.RASO/CABRAL,,,
1330,202,CABRAL / C.RASO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/202 ,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cabral-c-raso-202/,
2136,202,CABRAL / C.RASO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/202 ,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cabral-c-raso-202/,
2036,202,CABRAL / C.RASO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/202 ,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cabral-c-raso-202/,
251,207,CABRAL / OSÓRIO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/207,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cabral-osorio-207/,
296,216,CABRAL / PORTÃO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/216,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cabral-portao-216/,
302,703,CAIUÁ,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/703,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-703/,
810,732,CAIUA / C.COMPRIDO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/732,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-campo-comprido-732/,
2037,X34,CAIUÁ / STA.QUITÉRIA,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-sta-quiteria-X34/,
1890,X34,CAIUÁ / STA.QUITÉRIA,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-sta-quiteria-X34/,
2137,X34,CAIUÁ / STA.QUITÉRIA,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-sta-quiteria-X34/,
1870,702,CAIUA/CACHOEIRA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/702,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-cachoeira-702/,
2038,702,CAIUA/CACHOEIRA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/702,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-cachoeira-702/,
2138,702,CAIUA/CACHOEIRA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/702,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-cachoeira-702/,
