bg-prata,607,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/colombo-cic-607/,Colombo / CIC
bg-amarela,778,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cotolengo-778/,Cotolengo
bg-amarela,385,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cristo-rei-385/,Cristo Rei
bg-laranja,681,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/dalagassa-681/,Dalagassa
bg-prata,340,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/detran-bairro-alto-340/,Detran / Bairro Alto
bg-amarela,380,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/detran-vicente-machado-380/,Detran / Vicente Machado
bg-amarela,662,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/dom-atico-662/,Dom Ático
bg-laranja,533,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/erico-verissimo-pantanal-533/,Érico Veríssimo / Pantanal
bg-amarela,465,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/erasto-gaertner-465/,ERASTO  GAERTNER
bg-vermelha,X12,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/especial-boqueirao-X12/,Especial Boqueirão
bg-laranja,X19,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/especial-hasdrubal-bellegard-X19/,Especial Hasdrubal Bellegard
bg-amarela,266,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/estribo-ahu-266/,Estribo Ahú
bg-amarela,466,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/estudantes-466/,Estudantes
bg-amarela,275,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/fernando-de-noronha-laranjeiras-275/,Fernando de Noronha / Laranjeiras
bg-laranja,621,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/fanny-621/,Fanny
bg-laranja,720,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/fazendinha-campo-comprido-720/,Fazendinha / Campo Comprido
bg-laranja,831,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/fazendinha-capao-raso-831/,Fazendinha / Capão Raso
